Date,CrimeCount,StormCount,StormDay
2024-08-01,865,0,No Storm Day
2024-08-02,858,0,No Storm Day
2024-08-03,727,3,Storm Day
2024-08-04,663,0,No Storm Day
2024-08-05,837,0,No Storm Day
2024-08-06,889,0,No Storm Day
2024-08-07,978,0,No Storm Day
2024-08-08,924,0,No Storm Day
2024-08-09,850,0,No Storm Day
2024-08-10,841,0,No Storm Day
2024-08-11,763,0,No Storm Day
2024-08-12,855,0,No Storm Day
2024-08-13,956,0,No Storm Day
2024-08-14,946,0,No Storm Day
2024-08-15,1003,1,Storm Day
2024-08-16,938,0,No Storm Day
2024-08-17,792,0,No Storm Day
2024-08-18,764,0,No Storm Day
2024-08-19,894,0,No Storm Day
2024-08-20,1000,0,No Storm Day
2024-08-21,1062,1,Storm Day
2024-08-22,1000,0,No Storm Day
2024-08-23,911,0,No Storm Day
2024-08-24,778,0,No Storm Day
2024-08-25,731,0,No Storm Day
2024-08-26,851,0,No Storm Day
2024-08-27,883,0,No Storm Day
2024-08-28,872,0,No Storm Day
2024-08-29,870,0,No Storm Day
2024-08-30,949,0,No Storm Day
2024-08-31,788,0,No Storm Day
2024-09-01,761,0,No Storm Day
2024-09-02,705,0,No Storm Day
2024-09-03,924,0,No Storm Day
2024-09-04,950,0,No Storm Day
2024-09-05,976,0,No Storm Day
2024-09-06,1002,0,No Storm Day
2024-09-07,875,0,No Storm Day
2024-09-08,817,0,No Storm Day
2024-09-09,908,0,No Storm Day
2024-09-10,837,1,Storm Day
2024-09-11,916,1,Storm Day
2024-09-12,965,0,No Storm Day
2024-09-13,856,1,Storm Day
2024-09-14,768,0,No Storm Day
2024-09-15,696,0,No Storm Day
2024-09-16,907,0,No Storm Day
2024-09-17,1002,0,No Storm Day
2024-09-18,993,0,No Storm Day
2024-09-19,861,1,Storm Day
2024-09-20,940,1,Storm Day
2024-09-21,733,0,No Storm Day
2024-09-22,782,0,No Storm Day
2024-09-23,855,0,No Storm Day
2024-09-24,903,0,No Storm Day
2024-09-25,1059,0,No Storm Day
2024-09-26,959,4,Storm Day
2024-09-27,972,0,No Storm Day
2024-09-28,809,0,No Storm Day
2024-09-29,791,0,No Storm Day
2024-09-30,910,0,No Storm Day
2024-10-01,951,0,No Storm Day
2024-10-02,1064,0,No Storm Day
2024-10-03,952,0,No Storm Day
2024-10-04,903,0,No Storm Day
2024-10-05,804,0,No Storm Day
2024-10-06,685,1,Storm Day
2024-10-07,794,0,No Storm Day
2024-10-08,888,0,No Storm Day
2024-10-09,806,5,Storm Day
2024-10-10,888,0,No Storm Day
2024-10-11,894,0,No Storm Day
2024-10-12,705,0,No Storm Day
2024-10-13,696,0,No Storm Day
2024-10-14,865,0,No Storm Day
2024-10-15,921,0,No Storm Day
2024-10-16,1004,0,No Storm Day
2024-10-17,917,0,No Storm Day
2024-10-18,845,1,Storm Day
2024-10-19,767,0,No Storm Day
2024-10-20,713,0,No Storm Day
2024-10-21,886,0,No Storm Day
2024-10-22,881,0,No Storm Day
2024-10-23,1015,0,No Storm Day
2024-10-24,952,0,No Storm Day
2024-10-25,927,0,No Storm Day
2024-10-26,746,0,No Storm Day
2024-10-27,796,0,No Storm Day
2024-10-28,837,0,No Storm Day
2024-10-29,983,0,No Storm Day
2024-10-30,965,0,No Storm Day
2024-10-31,860,0,No Storm Day
